sku,name,customer_review_average,customer_review_count,regular_price,category_path,url
3902799,Fujifilm - QuickSnap Disposable Waterproof Film Camera - Blue,4.2,25,22.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Point & Shoot Cameras, Instant Print Cameras",https://api.bestbuy.com/click/-/3902799/pdp
4617347,Fujifilm - QuickSnap Flash 400 Single-Use Camera - 2 Pack,4.8,127,35.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Point & Shoot Cameras, Instant Print Cameras",https://api.bestbuy.com/click/-/4617347/pdp
5578523,Canon - EOS 5D Mark IV DSLR Camera (Body Only) - Black,4.9,820,2299.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, DSLR Cameras, DSLR Body Only",https://api.bestbuy.com/click/-/5578523/pdp
5632300,"Panasonic - LUMIX G85 Mirrorless 4K Photo Digital Camera Body with 12-60mm Lens, DMC-G85MK - Black",4.6,148,899.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Mirrorless Cameras",https://api.bestbuy.com/click/-/5632300/pdp
5852906,Nikon - D7500 DSLR 4K Video Camera (Body Only) - Black,4.9,458,999.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, DSLR Cameras, DSLR Body Only",https://api.bestbuy.com/click/-/5852906/pdp
5852910,Nikon - D7500 DSLR 4K Video Camera with AF-S DX NIKKOR 18-140mm f/3.5-5.6G ED VR lens - Black,4.9,123,1499.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, DSLR Cameras, DSLR Body & Lens",https://api.bestbuy.com/click/-/5852910/pdp
5959400,Canon - EOS 6D Mark II DSLR Video Camera (Body Only) - Black,4.7,346,1399.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, DSLR Cameras, DSLR Body Only",https://api.bestbuy.com/click/-/5959400/pdp
6084300,Nikon - D850 DSLR 4k Video Camera (Body Only) - Black,4.9,541,2399.95,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, DSLR Cameras, DSLR Body Only",https://api.bestbuy.com/click/-/6084300/pdp
6111512,Sony - Cyber-shot RX10 IV 20.1-Megapixel Digital Camera - Black,4.7,210,1699.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Point & Shoot Cameras",https://api.bestbuy.com/click/-/6111512/pdp
6213100,Sony - Alpha a7 III Mirrorless [Video] Camera with FE 28-70 mm F3.5-5.6 OSS Lens - Black,4.9,1640,1999.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Mirrorless Cameras",https://api.bestbuy.com/click/-/6213100/pdp
6213101,Sony - Alpha a7 III Mirrorless 4K Video Camera (Body Only) - Black,4.9,752,1799.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Mirrorless Cameras",https://api.bestbuy.com/click/-/6213101/pdp
6225803,"Kodak - Printomatic Instant Print Camera - Instant Digital Camera Prints on Zink 2x3"" Photo Paper - Blue",4.1,35,59.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Point & Shoot Cameras, Instant Print Cameras",https://api.bestbuy.com/click/-/6225803/pdp
6323758,Canon - EOS Rebel T7 DSLR Video Camera with 18-55mm Lens - Black,4.7,1438,529.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, DSLR Cameras, DSLR Body & Lens",https://api.bestbuy.com/click/-/6323758/pdp
6323759,Canon - EOS Rebel T7 DSLR Video Two Lens Kit with EF-S 18-55mm and EF 75-300mm Lenses - Black,4.8,4401,649.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, DSLR Cameras, DSLR Body & Lens",https://api.bestbuy.com/click/-/6323759/pdp
6324856,Sony - Alpha a6400 Mirrorless Camera (Body Only) - Black,4.8,320,899.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Mirrorless Cameras",https://api.bestbuy.com/click/-/6324856/pdp
6324858,Sony - Alpha a6400 Mirrorless Camera with E PZ 16-50mm f/3.5-5.6 OSS Lens - Black,4.8,258,999.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Mirrorless Cameras",https://api.bestbuy.com/click/-/6324858/pdp
6324859,Sony - Alpha a6400 Mirrorless 4K Video Camera with E 18-135mm f/3.5-5.6 OSS Lens - Black,4.8,688,1299.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Mirrorless Cameras",https://api.bestbuy.com/click/-/6324859/pdp
6331672,Canon - EOS RP Mirrorless 4K Video Camera (Body Only) - Black,4.8,271,1099.0,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Mirrorless Cameras",https://api.bestbuy.com/click/-/6331672/pdp
6364719,Sony - Cyber-shot RX100 VII 20.1-Megapixel Digital Camera - Black,4.6,285,1699.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Point & Shoot Cameras",https://api.bestbuy.com/click/-/6364719/pdp
6373125,Canon - EOS 90D DSLR Camera (Body Only) - Black,4.9,218,1199.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, DSLR Cameras, DSLR Body Only",https://api.bestbuy.com/click/-/6373125/pdp
6373129,Canon - EOS 90D DSLR Camera with EF-S 18-135mm Lens - Black,4.8,330,1599.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, DSLR Cameras, DSLR Body & Lens",https://api.bestbuy.com/click/-/6373129/pdp
6375664,Sony - Alpha 6100 Mirrorless Camera (Body Only) - Black,4.8,21,749.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Mirrorless Cameras",https://api.bestbuy.com/click/-/6375664/pdp
6375668,Sony - Alpha 6600 APS-C Mirrorless 4K Video Camera (Body Only) - Black,4.9,123,1199.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Mirrorless Cameras",https://api.bestbuy.com/click/-/6375668/pdp
6375669,Sony - Alpha 6600 Mirrorless 4K Video Camera with E 18-135mm Lens - Black,4.9,120,1599.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Mirrorless Cameras",https://api.bestbuy.com/click/-/6375669/pdp
6376316,Fujifilm - QuickSnap Flash 400 Single-Use Camera with Flash,4.8,127,19.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Point & Shoot Cameras, Instant Print Cameras",https://api.bestbuy.com/click/-/6376316/pdp
6385415,Nikon - Z50 Mirrorless 4K Video Camera with NIKKOR Z DX 16-50mm f/3.5-6.3 VR Lens - Black,4.8,137,999.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Mirrorless Cameras",https://api.bestbuy.com/click/-/6385415/pdp
6398024,Nikon - Coolpix P950 16.0-Megapixel Digital Camera - Black,4.6,140,799.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Point & Shoot Cameras",https://api.bestbuy.com/click/-/6398024/pdp
6409982,Canon - EOS RP Mirrorless Camera with RF24-105mm f/4-7.1 IS STM Lens - Black,4.8,658,1399.0,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Mirrorless Cameras",https://api.bestbuy.com/click/-/6409982/pdp
6415933,Sony - ZV-1 20.1-Megapixel Digital Camera for Content Creators and Vloggers - Black,4.5,1271,749.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Point & Shoot Cameras",https://api.bestbuy.com/click/-/6415933/pdp
6420028,"Panasonic - LUMIX G100 Mirrorless Camera for Photo, 4K Video and Vlogging, 12-32mm Lens, Tripod Grip Bundle – DC-G100VK - Black",4.3,19,799.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Mirrorless Cameras",https://api.bestbuy.com/click/-/6420028/pdp
6420364,Canon - EOS R5 Mirrorless Camera (Body Only) - Black,4.9,433,3199.0,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Mirrorless Cameras",https://api.bestbuy.com/click/-/6420364/pdp
6420371,Canon - EOS R5 Mirrorless Camera with RF24-105mm f/4L IS USM Lens - Black,4.9,67,4399.0,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Mirrorless Cameras",https://api.bestbuy.com/click/-/6420371/pdp
6423074,Nikon - Z 5 4K Video Mirrorless Camera (Body Only) - Black,4.7,128,1399.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Mirrorless Cameras",https://api.bestbuy.com/click/-/6423074/pdp
